Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Infonas,https://www.crunchbase.com/organization/infonas,"Manama, Al Manamah, Bahrain","Infonas is a telecommunication company that offers data center migration, cloud computing, consultation and broadband internet services.","877,658",info@infonas.com,+973 1650 0110,,https://www.linkedin.com/company/infonas-telecom,https://www.facebook.com/infonastel/,,https://infonas.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Data Center, Internet, Telecommunications",,,,,,"Hardware, Information Technology, Internet Services",$1M to $10M,,,,,2016-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADigital,https://www.crunchbase.com/organization/madigital,"Manama, Al Manamah, Bahrain","MADigital is a web design and development, social media and community management company.","891,677",ali@ma-digital.net,973.3965.2007,,https://www.linkedin.com/company/madigital/,https://www.facebook.com/madigitalbh/,,https://ma-digital.net/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Social Media Management, Software, Web Design, Web Development",,,,770,"4,978,522","Design, Internet Services, Sales and Marketing, Software",,,26,,,2014-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Ahmed Alkooheji Communications,https://www.crunchbase.com/organization/ahmed-alkooheji-communications,"Manama, Al Manamah, Bahrain",Creative Agency,"906,979",hello@kooheji.co,6635 0111,"Based in Bahrain, we thrive in providing a spectacular service as the kingdom's creative marketing and technological branding firm.",http://linkedin.com/company/koohejico,http://facebook.com/koohejico,http://twitter.com/koohejico,https://kooheji.co,For Profit,Ahmed Alkooheji,1-10,Gulf Cooperation Council (GCC),"Advertising, Creative Agency, Digital Marketing, Event Management, Photography, Web Development",,,,360,"6,471,110","Advertising, Content and Publishing, Events, Media and Entertainment, Sales and Marketing, Software",Less than $1M,,41,,1,2016-11-24,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,
Payment International Enterprise,https://www.crunchbase.com/organization/payment-international-enterprise,"Manama, Al Manamah, Bahrain",Payment International Enterprise is an online financial platform that offers mobile app distribution management and m-wallet services.,"912,356",customer.support@pie-int.com,+973 77334455,,https://www.linkedin.com/company/pie-international/,,,https://pie-int.com,For Profit,,101-250,Gulf Cooperation Council (GCC),"Financial Services, Mobile Payments, Payments",,,,,,"Financial Services, Mobile, Payments, Software",,,,,,2012-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foulath Holding Company,https://www.crunchbase.com/organization/foulath-holding-company,"Hidd, Al Hadd, Bahrain",Foulath Holding Company focuses on investing in growth of steel industry in GCC countries and MENA region.,"916,283",info@foulath.com.bhinfo@foulath.com,+973-17-464-222,,https://www.linkedin.com/company/foulath-holding,,,http://www.foulath.com.bh,For Profit,,501-1000,Gulf Cooperation Council (GCC),"B2B, Impact Investing, Mining",,,,,,"Financial Services, Lending and Investments, Natural Resources, Other",$1M to $10M,,8,,,2008-06-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eskan Bank,https://www.crunchbase.com/organization/eskan-bank,"Manama, Al Manamah, Bahrain","Eskan Bank is a financial institution that provides lending, mortgages, loans, electronic fund transfer and online banking services.","930,747",marketing@eskanbank.com,+973-1-756-7888,,https://www.linkedin.com/company/eskan-bank/,https://www.facebook.com/Eskanbank/,https://twitter.com/EskanBank,https://www.eskanbank.com/,For Profit,,101-250,Gulf Cooperation Council (GCC),"Angel Investment, Banking, Financial Services",,,,"3,863","2,287,735","Financial Services, Lending and Investments",$10M to $50M,-29.11%,,,,1979-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.33%,1.16,,,,,,,
Menatelecom,https://www.crunchbase.com/organization/menatelecom,"Manama, Al Manamah, Bahrain",Menatelecom is a telecommunications company.,"932,705",,973-7770-7771,,https://www.linkedin.com/company/mena-telecom/,https://www.facebook.com/menatelecom/,https://twitter.com/menatelecomBH,http://menatelecom.com/,For Profit,,51-100,Gulf Cooperation Council (GCC),Telecommunications,,,,,,Hardware,,,6,,,2008-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charitime,https://www.crunchbase.com/organization/charitime,"Hidd, Al Hadd, Bahrain",Charitime is a charity fundraising space that enables its users to donate their skills to charity.,"946,594",info@charitime.org,(+973) 17 000 900,Charitime lets you donate your skills to charity. It's the easiest way to do good. A completely online experience. Check us out at charitime.org,,,http://twitter.com/charitime_org,http://www.charitime.org,Non-profit,"Taimoor Dar, Yazin Al-Irhayim",1-10,Gulf Cooperation Council (GCC),"Enterprise Software, Humanitarian, Skill Assessment",,,,,,"Community and Lifestyle, Education, Software",,,6,,2,2011-11-19,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focus on productivity,https://www.crunchbase.com/organization/focus-on-productivity,"Manama, Al Manamah, Bahrain","Beautiful, flexible productivity app. Focus on what’s important   getting your ideas down before inspiration fades.","947,459",ihamadfouad@icloud.com,,,,,https://twitter.com/focus__app,https://medium.com/focus-on-productivity,For Profit,Hamad Fuad,1-10,Gulf Cooperation Council (GCC),,,2,,,,,Less than $1M,,21,,1,2017-11-22,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naylam Technologies,https://www.crunchbase.com/organization/naylam-technologies,"Manama, Al Manamah, Bahrain",Naylam Technologies serves the MENA region with keenly developed software and IT applications.,"975,617",admin@naylam.com,,Naylam Technologies serves the MENA region with keenly developed software and IT applications aimed to specifically meet the region’s market demands.,http://www.linkedin.com/company/naylamtechnologies,,,https://www.naylamtechnologies.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"Information Technology, Internet, Software",,,,,,"Information Technology, Internet Services, Software",,,,,,2020-06-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tik Tok Games,https://www.crunchbase.com/organization/tik-tok-games,"Al Manama, Al Manamah, Bahrain","Tik Tok, Game development company.","987,814",,,,https://www.linkedin.com/company/tik-tok-games/,,,,For Profit,,,Gulf Cooperation Council (GCC),Mobile Apps,,,,,,"Apps, Mobile, Software",,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Takaful,https://www.crunchbase.com/organization/takaful,"Manama, Al Manamah, Bahrain","Takaful is an insurance company that provides marine, motor, property and travel Insurance","990,009",takaful@gigtakaful.bh,+973 17565656,,https://www.linkedin.com/company/takaful-international,,,http://www.gigtakaful.bh,For Profit,,,Gulf Cooperation Council (GCC),"Insurance, Property Insurance",,,,538,"5,462,302",Financial Services,,-31.98%,,,,1989-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19%,16,,,,,,,
Atos Origin Middle East group,https://www.crunchbase.com/organization/atos-origin-middle-east-group,"Manama, Al Manamah, Bahrain",Atos Origin Middle East group provides business consulting and systems integration services in the Middle East.,"999,138",,+97317564800,"Atos Origin Middle East Limited provides business consulting and systems integration services in the Middle East. It offers various solutions and services, such as enterprise resource planning, customer relationship management, enterprise application integration, financial services, enterprise Web portals, enterprise content management, data warehouse/security identification, network management systems and infrastructure, auditing and quality assurance, and managed operations, outsourcing, and applications management.",,,,,For Profit,,,Gulf Cooperation Council (GCC),"Business Information Systems, Consulting",,,,,,"Information Technology, Professional Services",,,,,,1997-01-01,year,Active,,,,,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Atos Origin Middle East group acquired by HP,https://www.crunchbase.com/acquisition/hewlett-packard-acquires-atos-origin-middle-east-group--6f3c5aea,HP,https://www.crunchbase.com/organization/hewlett-packard,,,,,,,,,,,,,,,,,,,
GenuineClassifieds,https://www.crunchbase.com/organization/genuineclassifieds,"Sitrah, Sitrah, Bahrain",GenuineClassifieds offers a platform to advertises free online classified ads for versatile industries.,"1,008,022",admin@genuineclassifieds.com,,,,https://www.facebook.com/genuineclassifieds,https://twitter.com/G_Classifieds,https://genuineclassifieds.com,For Profit,,,Gulf Cooperation Council (GCC),"Advertising, E-Commerce, Marketing",,,,195,"6,345,682","Advertising, Commerce and Shopping, Sales and Marketing",,-68.8%,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27%,12,,,,,,,
ACE,https://www.crunchbase.com/organization/ace-ed7d,"Manama, Al Manamah, Bahrain","ACE is a financial consulting firm that offers risk management, claims handling, brokerage, insurance, and reinsurance services.","1,015,144",info.bahrain@acebrokers.com,+973 1-756-2550,,https://www.linkedin.com/company/aceinsurancebrokers/,https://www.facebook.com/ACE-Insurance-Holding-Brokers-Consultants-Agents-356420401134853,https://twitter.com/ACEinsgroup,https://www.ace-ins.com/,For Profit,,251-500,Gulf Cooperation Council (GCC),"Consulting, Financial Services, Insurance, Risk Management",,,,,,"Financial Services, Professional Services",$1M to $10M,,,,,1952-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procco Financial Services,https://www.crunchbase.com/organization/procco-financial-services,"Sanabis, Jidd Hafs, Bahrain","Procco Financial Services is a processing company that provides payment solutions, IT outsourcing and hosting services.","1,015,657",,973 17 567 000,,https://www.linkedin.com/company/procco-financial-services-w-l-l,,,http://www.procco.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Outsourcing, Payments, Professional Services",,,,,,"Financial Services, Other, Payments, Professional Services",$1M to $10M,,,,,2006-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloSmart,https://www.crunchbase.com/organization/flosmart,"Manama, Al Manamah, Bahrain",Mobile App,"1,027,492",contact.flosmart@gmail.com,973-3500-5840,"FloSmart is the first 100% inclusive financial advisor  in the history of Arab World. The FloSmart service is a B2B and B2C solution, combining the most accredited wealth management know-how with an extremely easy way to use application. It provides investors with a smart financial advisory & management service that takes the hurdles out of investing, while helping investors maximise returns at a risk they are comfortable with. Through a digital platform, a wide range of savings plans and investment opportunities are available for individuals and businesses. All you need to specify is : the invested amount, the risk level and whether to invest Halal or conventionally.",https://www.linkedin.com/company/flusmart/?viewAsMember=true,https://www.facebook.com/flusmart,https://twitter.com/Flus_mart,,For Profit,,1-10,Gulf Cooperation Council (GCC),"Financial Services, FinTech",,,,,,Financial Services,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilal Computers,https://www.crunchbase.com/organization/hilal-computers,"Manama, Al Manamah, Bahrain","Hilal Computers is an IT consulting firm that provides IT services, digital transformation, and business agility.","1,036,031",consult@hilalcomputers.com,733-630-9559,,https://www.linkedin.com/company/hilal-computers,https://www.facebook.com/HilalComputers,https://twitter.com/hilalcomputers,https://hilalcomputers.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Consulting, Information Services, Information Technology",,,,,,"Information Technology, Professional Services",$10M to $50M,,,,,1989-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroMap,https://www.crunchbase.com/organization/aeromap,"Manama, Al Manamah, Bahrain",AeroMap specialize in providing excellent mapping solutions.,"1,037,559",info@aeromapss.com,+973-17-533-513 ,"In AeroMap, they aspire to provide the highest form of solutions services for you where advanced technology plays a key role to your success. They believe that in every issue you face they are constantly able to resolve them effectively and efficiently as they strive to exceed your expectations.   AeroMap Technology Systems is a private company based in the Kingdom of Bahrain. They specialize in providing excellent mapping solutions and support from Aerial  and Terrestrial Data Acquisition, Photogrammetry, GIS Implementation, GPS Tracking Systems, up to Safety and Defense Systems.   They have set their strong collaborations with our distinctive globally-known providers who are notable remarkable on their respective fields to ensure that we provide 100% client satisfaction with their products and services.   To deliver exceptional results is theiir fidelity to you. Your trust is the heart of AeroMaps.",https://www.linkedin.com/in/aeromap-technology-systems-304501127/,https://www.facebook.com/pg/AeromapTechnologySystems/,https://twitter.com/AeromapBahrain,https://www.aeromapss.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),GPS,,,,,,"Hardware, Navigation and Mapping",$1M to $10M,,18,,,2004-07-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noonhelp,https://www.crunchbase.com/organization/noonhelp,"Manama, Al Manamah, Bahrain",Noonhelp is an online academic platform in arabic providing academic & advisory services.,"1,039,145",Support@Noonhelp.com,+973 3416 7951,,https://www.linkedin.com/in/noonhelp/,https://www.facebook.com/NoonHelp/,,https://www.noonhelp.com/ar,For Profit,,,Gulf Cooperation Council (GCC),"E-Learning, EdTech",,,,,,"Education, Software",,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Bassam Holdings Co (PSC).,https://www.crunchbase.com/organization/al-bassam-holdings-co-psc,"Manama, Al Manamah, Bahrain",Investment Ingenuity,"1,039,790",info@albassaminvestment.com,973-1619-8870,A private investment firm with full innovative investment practice for creating a better financial world.,,https://www.facebook.com/albassam.holdings.7,,http://www.albassaminvestment.com,For Profit,Muhanna Nabil,11-50,Gulf Cooperation Council (GCC),"Banking, Financial Services, Insurance",,,,,,"Financial Services, Lending and Investments",,,1,,1,2003-05-15,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tondro Group,https://www.crunchbase.com/organization/tondro-group,"Manama, Al Manamah, Bahrain",Tondro Group is a company with high aspirations and ambitions,"1,044,930",info@TondroGroup.com,973-38362221,"They are Tondro. They are a company with high aspirations and ambitions. While their ideas may seem ambitious, their long-term vision is always evolving. They are infinitely adjusting their approach to the future and in turn, their projection towards it. They aim to continuously improve upon current standards of quality to build viable relationships and exceed the expectations of their esteemed customers across all of the sectors in which they operate.",,https://www.facebook.com/TondroGroup,,https://tondrogroup.com/,For Profit,,,Gulf Cooperation Council (GCC),"Marketing, Mobile Apps, Social Media, Trading Platform",,,,,,"Apps, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Mobile, Sales and Marketing, Software",,,9,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skillcity,https://www.crunchbase.com/organization/skillcity,"Manama, Al Manamah, Bahrain","Based in Bahrain with presence across Middle East and South and Southeast Asia, SkillCity is a new-generation learning and coaching firm,","1,061,500",skillcity@live.com,+971 50 255 3887,,,https://www.facebook.com/skillcity,https://www.twitter.com/walizahid,http://www.skillcity.co,For Profit,,1-10,Gulf Cooperation Council (GCC),Education,,,,,,Education,$1M to $10M,,9,,,2007-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archi & Luxury Middle East SPC,https://www.crunchbase.com/organization/archi-luxury-middle-east-spc,"Manama, Al Manamah, Bahrain",Interior and Exterior design company,"1,065,096",,,,https://www.linkedin.com/company/archi-&-luxury/,https://www.facebook.com/archiandluxurymiddleast/,,http://www.archiandluxury.it,For Profit,Marco Valente,1-10,Gulf Cooperation Council (GCC),"Architecture, Construction, Interior Design",,,,501,"5,882,408","Design, Real Estate",,,13,,1,2017-01-21,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
The Perfume Lounge,https://www.crunchbase.com/organization/the-perfume-lounge,"Sitrah, Sitrah, Bahrain","The Perfume Lounge is an e-store that retails premium perfumes, candles, face creams, diffusers, hair sprays, gifts and beauty boxes.","1,096,109",info@the-perfume-lounge.com,+973-1-774-9400,,,https://www.facebook.com/the.perfume.lounge.bh/,,https://the-perfume-lounge.com/,For Profit,,,Gulf Cooperation Council (GCC),"Cosmetics, E-Commerce, Retail",,,,,,"Commerce and Shopping, Consumer Goods",Less than $1M,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awan Media,https://www.crunchbase.com/organization/awan-media,"Manama, Al Manamah, Bahrain","Awan Media is an advertising, marketing, and media consultancy.","1,105,258",info@awanmedia.com,973 17 311128,,https://www.linkedin.com/company/awan-media/,https://www.facebook.com/awanmedia/,https://twitter.com/awanmedia,http://www.awanmedia.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Advertising, Marketing",,,,,,"Advertising, Sales and Marketing",,,16,,,2009-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah’s Events,https://www.crunchbase.com/organization/noah-s-events,"Manama, Al Manamah, Bahrain","Noah’s Events is one of Bahrain’s premiere event planning establishments, providing consulting, corporate and social events","1,112,885",info@noahseventsbahrain.com,+973 17 672 956,,,https://www.facebook.com/noahs-events-bahrain-1522894087977415,,http://www.noahseventsbahrain.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Consulting, Events, Social Media",,,,,,"Events, Internet Services, Media and Entertainment, Professional Services",$1M to $10M,,20,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Paper Industries,https://www.crunchbase.com/organization/united-paper-industries,"Manama, Al Manamah, Bahrain","United Paper Industries produces Corrugated Sheets, Corrugated Rolls a wide range of cartons and boxes for packing.","1,119,707",brnpack@batelco.com.bh,973 17732626,,,,,http://www.bahrainpack.com,For Profit,,,Gulf Cooperation Council (GCC),"Manufacturing, Packaging Services",,,,,,"Administrative Services, Manufacturing",,,,,,1993-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneire,https://www.crunchbase.com/organization/geneire,"Manama, Al Manamah, Bahrain",Geneire design and implementation of oil water separation plants using proven technology.,"1,122,612",info@geneire.com,+97339663570,"Geneire Engineering Services is a global engineering consultancy specializing in engineering design and project management. Geneire links professionals and customers all over the world, in the fields of Chemical, Oil & Gas, Pharmaceutical, High Tech and Process. Within these sectors, we place qualified specialists with major customers. Whether for project management, recruitment or consultancy, we offer various sourcing solutions and we do this on local, regional and global levels.",https://in.linkedin.com/company/geneire-international,,,http://geneire.com/,For Profit,,,Gulf Cooperation Council (GCC),"Environmental Consulting, Environmental Engineering",,,,,,"Professional Services, Science and Engineering, Sustainability",,,5,,,2012-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efii | The Gig Economy. Localized.,https://www.crunchbase.com/organization/efii-the-gig-economy-localized,"Manama, Al Manamah, Bahrain",Freelance Jobs Near Me | Sidegigs & Localized Flexible Part Time Gig Economy Jobs,"1,124,243",mahmood@efii.co,,"Online and digital technologies have made finding jobs and working on tasks and projects significantly easier and more convenient. However, there are tasks, jobs, or projects that are ideally performed offline, locally and not virtually. For example; it is more convenient and ideal to learn a new sport, dance, or how to play a music instrument in person by having your instructor present, rather than virtually by watching online videos. Moreover, services such as modeling, photography, and fine arts are ideally performed offline and locally.   With efii, we are introducing a new way of working by combining online and digital technologies with your local community to create a local freelance marketplace where users can locate, request, hire, and perform freelance services nearby. efii is a global platform that encourages users to make a living by doing what they love and enjoy doing the most. Our main principle is empowering independent freelance work— efii has been created with the help of independent freelancers.  efii is perfect for anybody with a skillset or talent located anywhere. We encourage our users to monetize their passion and what they are good at by using efii. Whether you are a freelancer of any kind, an educator—  an algebra or physics tutor at high school level,  an economics tutor at college level, an instructor— a fitness coach or a personal trainer, a yoga instructor, or you are looking to find one near you, efii is the right platform for you. We created efii with a single purpose, and that is to help people connect with those persons who offer freelance services locally — fast and at a reasonable prices. efii brings in front a lot of solutions when you need professional help within your local area. Anyone that needs offline freelance services delivered with quality and promptitude will be able to use efii. efii is perfect for anybody with a skillset or talent located anywhere. We encourage our users to monetize their passion by using efii.",https://www.linkedin.com/company/efii/,https://www.facebook.com/efii.co,https://twitter.com/efiiapp,https://www.efii.co,For Profit,,,Gulf Cooperation Council (GCC),"Freelance, Information Technology, Internet, Marketplace",,,,,,"Commerce and Shopping, Information Technology, Internet Services, Professional Services",,,28,,,2017-03-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascentech Services,https://www.crunchbase.com/organization/ascentech-services,"Manama, Al Manamah, Bahrain",Technology and Investment Consulting firm,"1,126,609",info@ascentech.net,+973 13309999,"A multi-disciplinary company involved in several investment projects in the industrial, IT, and services sectors.",https://www.linkedin.com/company/ascentech-services,,,https://ascentech.net,For Profit,"Hamad Al Fahad, Hussain Abdulaal",1-10,Gulf Cooperation Council (GCC),"Angel Investment, Information Technology, Venture Capital",,,,,,"Financial Services, Information Technology, Lending and Investments",,,,,2,2012-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Expértos,https://www.crunchbase.com/organization/3d-expértos,"Manama, Al Manamah, Bahrain",3D Expértos provides the MENA Region with a portfolio of creative 3D solutions that encourages new opportunities,"1,136,496",info@3d-expertos.com,,,,https://www.facebook.com/3dexpertos,https://www.twitter.com/3dexpertos,http://www.3d-expertos.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),"3D Printing, Manufacturing, Software",,,,,,"Manufacturing, Software",$1M to $10M,,27,,,2014-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
TARTEEB Events and Marketing,https://www.crunchbase.com/organization/tarteeb-events-and-mareting,"Manama, Al Manamah, Bahrain","TARTEEB is a creative hub that specializes in entertainment including; Events, Marketing, Talents Management, Video Production, Gaming.","1,141,570",info@tarteeb.org,+97339990979,"TARTEEB Events and Marketing established in early 2011, a regional Events, Marketing, Talents Management company with an experience of more than 10-years in the market. Responsible in organizing and delivering niche events, marketing and social media campaigns in Bahrain and the GCC. We were able to conduct a wide spectrum of events and campaigns hence gained both experience and expertise in different aspects of our service deliveries. That eventually lead into upgrading our strength and proficiency in all areas of events, advertising, social media, management and execution. We are committed to building a solid relation base with our clients through understanding their strategy and vision. With our team of young, creative and dedicated professionals, we are able to transform all clients’ concepts into tangible business results at a high and professional standard. Our work and our industry hinges on the ability to push the boundaries of creativity and redefine what’s possible.",https://www.linkedin.com/company/tarteeborg/mycompany/,https://www.facebook.com/Tarteeb,,http://tarteeb.org,For Profit,Mohammed Al Muharraqi,11-50,Gulf Cooperation Council (GCC),"Advertising, Animation, Digital Marketing, Event Management, Gaming, Graphic Design, Marketing, Media and Entertainment, Public Relations",,,,,,"Advertising, Design, Events, Gaming, Media and Entertainment, Sales and Marketing, Video",,,,,1,2011-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inovest BSC,https://www.crunchbase.com/organization/inovest-bsc,"Manama, Al Manamah, Bahrain","Inovest BSC is into direct investment, asset management, and real estate investment.","1,146,790",info@inovest.bh,+973 17 155 777,,https://www.linkedin.com/company/inovest/,,,http://www.inovest.bh,For Profit,,101-250,Gulf Cooperation Council (GCC),"Asset Management, Banking, Real Estate Investment",,,,,,"Financial Services, Lending and Investments, Real Estate",,,,,,2002-01-01,year,Active,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INOVEST,https://www.crunchbase.com/ipo/inovest-bsc-ipo--bd767b1c,KSE - Kuwait Stock Exchange,,,,,,,,,,,
TabibDeals,https://www.crunchbase.com/organization/tabibdeals,"Manama, Al Manamah, Bahrain",TabibDeals is the home of medical deals in Bahrain and the Middle East.,"1,157,091",admin@tabibdeals.com,,"TabibDeals is the home of medical deals in Bahrain and the Middle East, we connect patients with medical service providers. Through TabibDeals every patient can find suitable service provider with the best price and highest quality and every service provider can market their deals to our large patient database.",,https://www.facebook.com/tabibdeals,https://twitter.com/tabibdeals,https://tabibdeals.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"E-Commerce, Health Care",,,,,,"Commerce and Shopping, Health Care",,,17,,,2018-12-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uski,https://www.crunchbase.com/organization/bh-theatre,"Manama, Al Manamah, Bahrain",The IMDb of the Middle East & North Africa,"1,164,392",support@uski.co,+97336806200,"USKI was founded by Ali Ashoor and Ali Alsayed in December 2014 and consists of a mobile application to check cinema showtimes and book cinema tickets across Bahrain. With little to no advertising to date, USKI now has over 17,500 active users spread across Bahrain and Saudi Arabia. USKI features a clean interface that displays accurate movie information and show times for all movies playing in all cinema halls across Bahrain. USKI is rolling out a marketing strategy to acquire an additional 100,000 active users by end of Q4 of 2016 while planning to expand the mobile application to feature movie information and show times for all cinemas halls across MENA by end of Q2 of 2017. We invite you to download USKI, available for iPhone and Android smartphones at www.uski.co.",,https://facebook.com/UskiApp,https://twitter.com/UskiApp,http://uski.co,For Profit,"Ali Alsayed, Ali Ashoor",1-10,Gulf Cooperation Council (GCC),"Film Distribution, Lifestyle",,,,,,"Community and Lifestyle, Media and Entertainment, Video",Less than $1M,,8,,2,2014-03-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teqan,https://www.crunchbase.com/organization/teqan,"Manama, Al Manamah, Bahrain","Teqan is a firm that offers services ranging from product design, software development, mobile apps, branding, ERP, to digital marketing.","1,164,906",info@teqan.com,97313104545,,https://www.linkedin.com/company/teqanco,,https://twitter.com/teqanco,http://teqan.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"Brand Marketing, Digital Marketing, Web Development",,,,,,"Sales and Marketing, Software",Less than $1M,,21,,,2016-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
